eps,min_samples,n_clusters,noise_ratio,largest_cluster
5.000000000000000278e-02,3.000000000000000000e+00,3.260000000000000000e+03,5.335277435067535823e-01,2.631000000000000000e+03
7.500000000000001110e-02,3.000000000000000000e+00,2.819000000000000000e+03,3.626764512666036389e-01,3.753000000000000000e+03
1.000000000000000194e-01,3.000000000000000000e+00,2.371000000000000000e+03,2.632869205748986641e-01,5.890000000000000000e+03
1.250000000000000278e-01,3.000000000000000000e+00,2.175000000000000000e+03,1.956546121677268379e-01,7.789000000000000000e+03
1.500000000000000222e-01,3.000000000000000000e+00,2.018000000000000000e+03,1.450545576901507705e-01,8.951000000000000000e+03
1.750000000000000444e-01,3.000000000000000000e+00,1.767000000000000000e+03,1.071125282402140694e-01,9.218000000000000000e+03
2.000000000000000666e-01,3.000000000000000000e+00,1.500000000000000000e+03,7.924885036291678952e-02,1.070300000000000000e+04
2.250000000000000333e-01,3.000000000000000000e+00,1.164000000000000000e+03,5.923635256605406380e-02,1.447200000000000000e+04
2.500000000000000555e-01,3.000000000000000000e+00,9.020000000000000000e+02,4.534457066863212954e-02,1.955100000000000000e+04
5.000000000000000278e-02,4.000000000000000000e+00,1.856000000000000000e+03,6.301453269455704609e-01,2.622000000000000000e+03
7.500000000000001110e-02,4.000000000000000000e+00,1.771000000000000000e+03,4.427104196375639122e-01,3.013000000000000000e+03
1.000000000000000194e-01,4.000000000000000000e+00,1.431000000000000000e+03,3.323612824662319221e-01,5.807000000000000000e+03
1.250000000000000278e-01,4.000000000000000000e+00,1.265000000000000000e+03,2.601624713592154969e-01,7.748000000000000000e+03
1.500000000000000222e-01,4.000000000000000000e+00,1.201000000000000000e+03,2.021919212959253920e-01,8.906000000000000000e+03
1.750000000000000444e-01,4.000000000000000000e+00,1.203000000000000000e+03,1.551489320792809046e-01,9.183000000000000000e+03
2.000000000000000666e-01,4.000000000000000000e+00,1.105000000000000000e+03,1.180240662703690019e-01,1.036600000000000000e+04
2.250000000000000333e-01,4.000000000000000000e+00,8.830000000000000000e+02,9.016038839307173591e-02,1.160600000000000000e+04
2.500000000000000555e-01,4.000000000000000000e+00,6.280000000000000000e+02,7.009982214673694811e-02,1.954500000000000000e+04
5.000000000000000278e-02,5.000000000000000000e+00,1.145000000000000000e+03,7.066222300555992097e-01,2.535000000000000000e+03
7.500000000000001110e-02,5.000000000000000000e+00,1.293000000000000000e+03,5.111919373187419069e-01,2.987000000000000000e+03
1.000000000000000194e-01,5.000000000000000000e+00,1.043000000000000000e+03,3.858614667286215383e-01,5.647000000000000000e+03
1.250000000000000278e-01,5.000000000000000000e+00,8.730000000000000000e+02,3.110829821666052375e-01,7.649000000000000000e+03
1.500000000000000222e-01,5.000000000000000000e+00,8.060000000000000000e+02,2.499238916216692530e-01,8.018000000000000000e+03
1.750000000000000444e-01,5.000000000000000000e+00,7.970000000000000000e+02,2.032654500008011511e-01,9.063000000000000000e+03
2.000000000000000666e-01,5.000000000000000000e+00,8.130000000000000000e+02,1.609812372818894000e-01,9.911000000000000000e+03
2.250000000000000333e-01,5.000000000000000000e+00,7.630000000000000000e+02,1.238563714729775250e-01,1.092900000000000000e+04
2.500000000000000555e-01,5.000000000000000000e+00,5.650000000000000000e+02,9.682588005319575641e-02,1.448900000000000000e+04
5.000000000000000278e-02,6.000000000000000000e+00,7.080000000000000000e+02,7.648170995497588498e-01,2.524000000000000000e+03
7.500000000000001110e-02,6.000000000000000000e+00,9.870000000000000000e+02,5.717101152040505729e-01,2.937000000000000000e+03
1.000000000000000194e-01,6.000000000000000000e+00,8.600000000000000000e+02,4.344106006953902255e-01,5.324000000000000000e+03
1.250000000000000278e-01,6.000000000000000000e+00,6.860000000000000000e+02,3.499222893400201762e-01,7.321000000000000000e+03
1.500000000000000222e-01,6.000000000000000000e+00,6.160000000000000000e+02,2.891958148403326323e-01,7.928000000000000000e+03
1.750000000000000444e-01,6.000000000000000000e+00,5.720000000000000000e+02,2.407908862219801105e-01,9.028000000000000000e+03
2.000000000000000666e-01,6.000000000000000000e+00,5.860000000000000000e+02,1.987149701174472372e-01,9.336000000000000000e+03
2.250000000000000333e-01,6.000000000000000000e+00,6.250000000000000000e+02,1.583214497444360713e-01,1.038700000000000000e+04
2.500000000000000555e-01,6.000000000000000000e+00,5.760000000000000000e+02,1.248497860953998451e-01,1.275900000000000000e+04
5.000000000000000278e-02,7.000000000000000000e+00,4.400000000000000000e+02,8.087356395507202533e-01,2.507000000000000000e+03
7.500000000000001110e-02,7.000000000000000000e+00,7.560000000000000000e+02,6.278700870038935733e-01,2.818000000000000000e+03
1.000000000000000194e-01,7.000000000000000000e+00,7.260000000000000000e+02,4.809889282338049576e-01,4.959000000000000000e+03
1.250000000000000278e-01,7.000000000000000000e+00,6.070000000000000000e+02,3.835061127044911977e-01,6.025000000000000000e+03
1.500000000000000222e-01,7.000000000000000000e+00,5.190000000000000000e+02,3.200237137684062150e-01,7.788000000000000000e+03
1.750000000000000444e-01,7.000000000000000000e+00,4.710000000000000000e+02,2.703209370143083712e-01,8.979000000000000000e+03
2.000000000000000666e-01,7.000000000000000000e+00,4.460000000000000000e+02,2.301196904391853981e-01,9.137000000000000000e+03
2.250000000000000333e-01,7.000000000000000000e+00,4.710000000000000000e+02,1.932832353271058123e-01,9.809000000000000000e+03
2.500000000000000555e-01,7.000000000000000000e+00,5.060000000000000000e+02,1.549566582813927118e-01,1.220600000000000000e+04
